z,Mr,fraction,feature,root
0.01,-18.5,0.12587685113016367,,whole
0.01,-18.5,0.289426523297491,,bar
0.01,-19.0,0.14454732510288065,,whole
0.01,-19.0,0.3011789924973205,,bar
0.01,-19.5,0.1654727793696275,,whole
0.01,-19.5,0.3181818181818182,,bar
0.01,-20.0,0.17750257997936017,,whole
0.01,-20.0,0.33140655105973027,,bar
0.01,-20.5,0.19858156028368795,,whole
0.01,-20.5,0.35782747603833864,,bar
0.01,-21.0,0.2222222222222222,,whole
0.01,-21.0,0.4142857142857143,,bar
0.02,-18.5,0.08091735179575942,,whole
0.02,-18.5,0.250334672021419,,bar
0.02,-19.0,0.09228372434017595,,whole
0.02,-19.0,0.2513729405891163,,bar
0.02,-19.5,0.10305250305250305,,whole
0.02,-19.5,0.24707259953161592,,bar
0.02,-20.0,0.11432579344204805,,whole
0.02,-20.0,0.24715693707354056,,bar
0.02,-20.5,0.12798445308162132,,whole
0.02,-20.5,0.26001128031584886,,bar
0.02,-21.0,0.135567783891946,,whole
0.02,-21.0,0.2799586776859504,,bar
0.03,-18.5,0.06638961038961039,,whole
0.03,-18.5,0.24473381846036002,,bar
0.03,-19.0,0.0686993650098533,,whole
0.03,-19.0,0.24440116845180138,,bar
0.03,-19.5,0.07861722888207416,,whole
0.03,-19.5,0.24326072891956005,,bar
0.03,-20.0,0.09265426052889324,,whole
0.03,-20.0,0.245014245014245,,bar
0.03,-20.5,0.1062956204379562,,whole
0.03,-20.5,0.24955373081042484,,bar
0.03,-21.0,0.12264408631521442,,whole
0.03,-21.0,0.2690233672857999,,bar
0.04,-18.5,0.0616123224644929,,whole
0.04,-18.5,0.24813695871097685,,bar
0.04,-19.0,0.0616123224644929,,whole
0.04,-19.0,0.24813695871097685,,bar
0.04,-19.5,0.06240417049984667,,whole
0.04,-19.5,0.24827165514436764,,bar
0.04,-20.0,0.07172322022621423,,whole
0.04,-20.0,0.24561403508771928,,bar
0.04,-20.5,0.08922576050462916,,whole
0.04,-20.5,0.24865324638502978,,bar
0.04,-21.0,0.10635608522932466,,whole
0.04,-21.0,0.25981473312748127,,bar
0.05,-18.5,0.055617731497250744,,whole
0.05,-18.5,0.2481545809813287,,bar
0.05,-19.0,0.055617731497250744,,whole
0.05,-19.0,0.2481545809813287,,bar
0.05,-19.5,0.055617731497250744,,whole
0.05,-19.5,0.2481545809813287,,bar
0.05,-20.0,0.0568634370116449,,whole
0.05,-20.0,0.24818481848184817,,bar
0.05,-20.5,0.06958687371813653,,whole
0.05,-20.5,0.2453512396694215,,bar
0.05,-21.0,0.08975834292289989,,whole
0.05,-21.0,0.25480943738656986,,bar
0.060000000000000005,-18.5,0.050588886254051064,,whole
0.060000000000000005,-18.5,0.24864024864024864,,bar
0.060000000000000005,-19.0,0.050588886254051064,,whole
0.060000000000000005,-19.0,0.24864024864024864,,bar
0.060000000000000005,-19.5,0.050588886254051064,,whole
0.060000000000000005,-19.5,0.24864024864024864,,bar
0.060000000000000005,-20.0,0.050588886254051064,,whole
0.060000000000000005,-20.0,0.24864024864024864,,bar
0.060000000000000005,-20.5,0.05325520833333333,,whole
0.060000000000000005,-20.5,0.24822981994740037,,bar
0.060000000000000005,-21.0,0.07014042867701405,,whole
0.060000000000000005,-21.0,0.24862457427298926,,bar
0.06999999999999999,-18.5,0.04635165310091479,,whole
0.06999999999999999,-18.5,0.2507794232268122,,bar
0.06999999999999999,-19.0,0.04635165310091479,,whole
0.06999999999999999,-19.0,0.2507794232268122,,bar
0.06999999999999999,-19.5,0.04635165310091479,,whole
0.06999999999999999,-19.5,0.2507794232268122,,bar
0.06999999999999999,-20.0,0.04635165310091479,,whole
0.06999999999999999,-20.0,0.2507794232268122,,bar
0.06999999999999999,-20.5,0.04635165310091479,,whole
0.06999999999999999,-20.5,0.2507794232268122,,bar
0.06999999999999999,-21.0,0.0539282250242483,,whole
0.06999999999999999,-21.0,0.24932735426008967,,bar
0.08,-18.5,0.046477699041267195,,whole
0.08,-18.5,0.26334435521965044,,bar
0.08,-19.0,0.046477699041267195,,whole
0.08,-19.0,0.26334435521965044,,bar
0.08,-19.5,0.046477699041267195,,whole
0.08,-19.5,0.26334435521965044,,bar
0.08,-20.0,0.046477699041267195,,whole
0.08,-20.0,0.26334435521965044,,bar
0.08,-20.5,0.046477699041267195,,whole
0.08,-20.5,0.26334435521965044,,bar
0.08,-21.0,0.04714064914992272,,whole
0.08,-21.0,0.2631200575125809,,bar
0.09,-18.5,0.045971646928417244,,whole
0.09,-18.5,0.2655881361644759,,bar
0.09,-19.0,0.045971646928417244,,whole
0.09,-19.0,0.2655881361644759,,bar
0.09,-19.5,0.045971646928417244,,whole
0.09,-19.5,0.2655881361644759,,bar
0.09,-20.0,0.045971646928417244,,whole
0.09,-20.0,0.2655881361644759,,bar
0.09,-20.5,0.045971646928417244,,whole
0.09,-20.5,0.2655881361644759,,bar
0.09,-21.0,0.045971646928417244,,whole
0.09,-21.0,0.2655881361644759,,bar
0.09999999999999999,-18.5,0.04274541531823085,,whole
0.09999999999999999,-18.5,0.2677364864864865,,bar
0.09999999999999999,-19.0,0.04274541531823085,,whole
0.09999999999999999,-19.0,0.2677364864864865,,bar
0.09999999999999999,-19.5,0.04274541531823085,,whole
0.09999999999999999,-19.5,0.2677364864864865,,bar
0.09999999999999999,-20.0,0.04274541531823085,,whole
0.09999999999999999,-20.0,0.2677364864864865,,bar
0.09999999999999999,-20.5,0.04274541531823085,,whole
0.09999999999999999,-20.5,0.2677364864864865,,bar
0.09999999999999999,-21.0,0.04274541531823085,,whole
0.09999999999999999,-21.0,0.2677364864864865,,bar
0.11,-18.5,0.042192860792758594,,whole
0.11,-18.5,0.28347229033840116,,bar
0.11,-19.0,0.042192860792758594,,whole
0.11,-19.0,0.28347229033840116,,bar
0.11,-19.5,0.042192860792758594,,whole
0.11,-19.5,0.28347229033840116,,bar
0.11,-20.0,0.042192860792758594,,whole
0.11,-20.0,0.28347229033840116,,bar
0.11,-20.5,0.042192860792758594,,whole
0.11,-20.5,0.28347229033840116,,bar
0.11,-21.0,0.042192860792758594,,whole
0.11,-21.0,0.28347229033840116,,bar
0.12,-18.5,0.04112575562382321,,whole
0.12,-18.5,0.28463648834019206,,bar
0.12,-19.0,0.04112575562382321,,whole
0.12,-19.0,0.28463648834019206,,bar
0.12,-19.5,0.04112575562382321,,whole
0.12,-19.5,0.28463648834019206,,bar
0.12,-20.0,0.04112575562382321,,whole
0.12,-20.0,0.28463648834019206,,bar
0.12,-20.5,0.04112575562382321,,whole
0.12,-20.5,0.28463648834019206,,bar
0.12,-21.0,0.04112575562382321,,whole
0.12,-21.0,0.28463648834019206,,bar
0.13,-18.5,0.03901933701657458,,whole
0.13,-18.5,0.29973474801061006,,bar
0.13,-19.0,0.03901933701657458,,whole
0.13,-19.0,0.29973474801061006,,bar
0.13,-19.5,0.03901933701657458,,whole
0.13,-19.5,0.29973474801061006,,bar
0.13,-20.0,0.03901933701657458,,whole
0.13,-20.0,0.29973474801061006,,bar
0.13,-20.5,0.03901933701657458,,whole
0.13,-20.5,0.29973474801061006,,bar
0.13,-21.0,0.03901933701657458,,whole
0.13,-21.0,0.29973474801061006,,bar
0.14,-18.5,0.031874569262577535,,whole
0.14,-18.5,0.2833078101071976,,bar
0.14,-19.0,0.031874569262577535,,whole
0.14,-19.0,0.2833078101071976,,bar
0.14,-19.5,0.031874569262577535,,whole
0.14,-19.5,0.2833078101071976,,bar
0.14,-20.0,0.031874569262577535,,whole
0.14,-20.0,0.2833078101071976,,bar
0.14,-20.5,0.031874569262577535,,whole
0.14,-20.5,0.2833078101071976,,bar
0.14,-21.0,0.031874569262577535,,whole
0.14,-21.0,0.2833078101071976,,bar
0.15000000000000002,-18.5,0.03686856595642806,,whole
0.15000000000000002,-18.5,0.29615384615384616,,bar
0.15000000000000002,-19.0,0.03686856595642806,,whole
0.15000000000000002,-19.0,0.29615384615384616,,bar
0.15000000000000002,-19.5,0.03686856595642806,,whole
0.15000000000000002,-19.5,0.29615384615384616,,bar
0.15000000000000002,-20.0,0.03686856595642806,,whole
0.15000000000000002,-20.0,0.29615384615384616,,bar
0.15000000000000002,-20.5,0.03686856595642806,,whole
0.15000000000000002,-20.5,0.29615384615384616,,bar
0.15000000000000002,-21.0,0.03686856595642806,,whole
0.15000000000000002,-21.0,0.29615384615384616,,bar
0.16,-18.5,0.03138860457181849,,whole
0.16,-18.5,0.2787878787878788,,bar
0.16,-19.0,0.03138860457181849,,whole
0.16,-19.0,0.2787878787878788,,bar
0.16,-19.5,0.03138860457181849,,whole
0.16,-19.5,0.2787878787878788,,bar
0.16,-20.0,0.03138860457181849,,whole
0.16,-20.0,0.2787878787878788,,bar
0.16,-20.5,0.03138860457181849,,whole
0.16,-20.5,0.2787878787878788,,bar
0.16,-21.0,0.03138860457181849,,whole
0.16,-21.0,0.2787878787878788,,bar
0.17,-18.5,0.02377555872563005,,whole
0.17,-18.5,0.273224043715847,,bar
0.17,-19.0,0.02377555872563005,,whole
0.17,-19.0,0.273224043715847,,bar
0.17,-19.5,0.02377555872563005,,whole
0.17,-19.5,0.273224043715847,,bar
0.17,-20.0,0.02377555872563005,,whole
0.17,-20.0,0.273224043715847,,bar
0.17,-20.5,0.02377555872563005,,whole
0.17,-20.5,0.273224043715847,,bar
0.17,-21.0,0.02377555872563005,,whole
0.17,-21.0,0.273224043715847,,bar
0.18000000000000002,-18.5,0.016483516483516484,,whole
0.18000000000000002,-18.5,0.2608695652173913,,bar
0.18000000000000002,-19.0,0.016483516483516484,,whole
0.18000000000000002,-19.0,0.2608695652173913,,bar
0.18000000000000002,-19.5,0.016483516483516484,,whole
0.18000000000000002,-19.5,0.2608695652173913,,bar
0.18000000000000002,-20.0,0.016483516483516484,,whole
0.18000000000000002,-20.0,0.2608695652173913,,bar
0.18000000000000002,-20.5,0.016483516483516484,,whole
0.18000000000000002,-20.5,0.2608695652173913,,bar
0.18000000000000002,-21.0,0.016483516483516484,,whole
0.18000000000000002,-21.0,0.2608695652173913,,bar
0.19,-18.5,0.018306636155606407,,whole
0.19,-18.5,0.32,,bar
0.19,-19.0,0.018306636155606407,,whole
0.19,-19.0,0.32,,bar
0.19,-19.5,0.018306636155606407,,whole
0.19,-19.5,0.32,,bar
0.19,-20.0,0.018306636155606407,,whole
0.19,-20.0,0.32,,bar
0.19,-20.5,0.018306636155606407,,whole
0.19,-20.5,0.32,,bar
0.19,-21.0,0.018306636155606407,,whole
0.19,-21.0,0.32,,bar
